Distance_(micrometer),Value
0.000,199.9167
1.366,198.4940
2.732,199.8160
4.098,201.1487
5.464,200.4814
6.831,199.8034
8.197,199.7974
9.563,199.7914
10.929,199.8910
12.295,200.0000
13.661,200.0000
15.027,200.0000
16.393,199.0240
17.760,198.0000
19.126,198.0000
20.492,198.0000
21.858,199.2908
23.224,200.6667
24.590,199.8633
25.956,199.0000
27.322,199.9376
28.689,200.9591
30.055,200.6464
31.421,200.3044
32.787,200.1626
34.153,200.0000
35.519,200.4793
36.885,201.0050
38.251,200.5269
39.617,199.9930
40.984,199.8385
42.350,199.6730
43.716,200.4784
45.082,201.4055
46.448,200.6198
47.814,199.7096
49.180,200.4588
50.546,201.3150
51.913,201.6211
53.279,201.9777
54.645,202.4135
56.011,202.9212
57.377,202.9152
58.743,202.9092
60.109,202.8885
61.475,202.8629
62.842,202.2824
64.208,201.5902
65.574,201.3991
66.940,201.1643
68.306,201.6264
69.672,202.1946
71.038,201.8054
72.404,201.3333
73.770,201.4354
75.137,201.5582
76.503,201.4312
77.869,201.2751
79.235,200.9518
80.601,200.5423
81.967,200.1547
83.333,199.6667
84.699,200.2508
86.066,201.0000
87.432,201.5306
88.798,202.2225
90.164,203.1547
91.530,204.3540
92.896,203.2629
94.262,201.8357
95.628,201.6521
96.995,201.4082
98.361,201.1168
99.727,200.7295
101.093,199.7685
102.459,198.4784
103.825,198.9991
105.191,199.7056
106.557,200.5300
107.924,201.6667
109.290,201.5266
110.656,201.3333
112.022,200.0299
113.388,198.2202
114.754,198.8245
116.120,199.6667
117.486,199.7628
118.852,199.9029
120.219,199.6210
121.585,199.2112
122.951,199.2092
124.317,199.2072
125.683,199.7810
127.049,200.6098
128.415,200.6293
129.781,200.6667
131.148,200.3422
132.514,199.8619
133.880,199.5490
135.246,199.0928
136.612,199.0988
137.978,199.1048
139.344,199.3321
140.710,199.6667
142.077,199.8822
143.443,200.2046
144.809,200.3831
146.175,200.6667
147.541,200.6667
148.907,200.6667
150.273,200.6667
151.639,200.6667
153.005,200.4710
154.372,200.1567
155.738,199.4529
157.104,198.3480
158.470,199.3090
159.836,200.8447
161.202,200.8670
162.568,200.9099
163.934,200.1898
165.301,199.0000
166.667,198.5829
168.033,197.9032
169.399,198.7681
170.765,200.1939
172.131,200.1959
173.497,200.1979
174.863,199.6044
176.230,198.5961
177.596,199.2572
178.962,200.3822
180.328,200.0080
181.694,199.3703
183.060,199.0869
184.426,198.5971
185.792,198.6161
187.158,198.6667
188.525,198.7489
189.891,198.8896
191.257,199.1688
192.623,199.6776
193.989,199.7592
195.355,199.8965
196.721,199.7075
198.087,199.3683
199.454,199.1726
200.820,198.8091
202.186,198.6956
203.552,198.4837
204.918,198.1915
206.284,197.6500
207.650,197.9498
209.016,198.4997
210.383,198.6448
211.749,198.9052
213.115,198.7497
214.481,198.4531
215.847,198.1760
217.213,197.6667
218.579,197.2978
219.945,196.5948
221.311,197.3056
222.678,198.6823
224.044,197.8161
225.410,196.0951
226.776,195.8265
228.142,195.2778
229.508,195.3510
230.874,195.4880
232.240,195.0088
233.607,194.0476
234.973,193.8220
236.339,193.3486
237.705,193.5912
239.071,194.1188
240.437,193.0194
241.803,190.7379
243.169,191.1745
244.536,192.0948
245.902,192.0888
247.268,192.0828
248.634,192.2565
250.000,192.6431
251.366,192.4136
252.732,191.9215
254.098,191.4277
255.464,190.3333
256.831,190.2207
258.197,189.9767
259.563,189.6703
260.929,188.9847
262.295,188.6855
263.661,188.0037
265.027,188.9208
266.393,190.9980
267.760,190.6816
269.126,189.9740
270.492,190.2645
271.858,190.9501
273.224,191.2571
274.590,192.0000
275.956,192.0128
277.322,192.0489
278.689,191.8573
280.055,191.3942
281.421,191.4002
282.787,191.4062
284.153,191.7046
285.519,192.4182
286.885,192.2746
288.251,191.9032
289.617,191.8972
290.984,191.8912
292.350,191.9181
293.716,192.0000
295.082,191.7156
296.448,191.0000
297.814,190.5685
299.180,189.4780
300.546,189.4840
301.913,189.4900
303.279,189.7744
304.645,190.5020
306.011,190.7844
307.377,191.5140
308.743,191.4687
310.109,191.3333
311.475,190.9527
312.842,189.9241
314.208,189.7651
315.574,189.3503
316.940,189.8395
318.306,191.2096
319.672,191.1713
321.038,191.0928
322.404,190.9987
323.770,190.7475
325.137,190.8094
326.503,191.0000
327.869,191.4178
329.235,192.6098
330.601,192.4566
331.967,192.0000
333.333,191.8190
334.699,191.3004
336.066,191.1299
337.432,190.6248
338.798,190.8088
340.164,191.3244
341.530,191.0806
342.896,190.3333
344.262,190.2483
345.628,189.9850
346.995,189.7377
348.361,189.0000
349.727,189.0896
351.093,189.3723
352.459,189.4482
353.825,189.6667
355.191,189.8270
356.557,190.3333
357.923,190.4293
359.290,190.7415
360.656,190.6687
362.022,190.4202
363.388,190.2698
364.754,189.7655
366.120,189.7715
367.486,189.7774
368.852,190.0639
370.219,191.0000
371.585,191.2285
372.951,192.0000
374.317,191.9127
375.683,191.6268
377.049,191.1959
378.415,189.6667
379.781,189.5558
381.148,189.1627
382.514,189.3772
383.880,190.1507
385.246,190.1447
386.612,190.1387
387.978,189.8005
389.344,188.5868
390.710,188.5946
392.077,188.6667
393.443,189.1164
394.809,190.7944
396.175,190.4260
397.541,189.0000
398.907,189.2781
400.273,190.3333
401.639,190.4711
403.005,191.0000
404.372,191.0000
405.738,191.0000
407.104,190.7299
408.470,189.6667
409.836,189.3992
411.202,188.3333
412.568,188.2059
413.934,187.6856
415.301,187.8737
416.667,188.6667
